"id","pageid","revid","title","section","text"
"0","10","97718531","言語","{'dt': None, 'h2': None, 'h3': None, 'h4': None}","言語(げんご)は、狭義には「声による記号の体系」をいう。広辞苑や大辞泉には次のように解説されている。人間が音声や文字を用いて思想・感情・意志等々を伝達するために用いる記号体系。およびそれを用いる行為(広辞苑)。音声や文字によって、人の意志・思想・感情などの情報を表現したり伝達する、あるいは他者のそれを受け入れ、理解するための約束・規則。および、そうした記号の体系(大辞泉)。ある特定の集団が用いる、音や文字による事態の伝達手段(個別言語のことで、英語・フランス語・日本語などのこと)。ソシュールの用語「langue ラング」の日本語での訳語。『日本大百科全書』では、「言語」という語は多義である、と解説され、大脳の言語中枢(英語版)に蓄えられた《語彙と文法規則の体系》を指すこともあり、その体系を用いる能力としてとらえることもある、と解説され、一方では、抽象的に「すべての人間が共有する言語能力」を指すこともあり、「個々の個別言語」を指すこともある、と解説されている。広義の言語には、verbalな(言葉に表す)ものとnon-verbalな(言葉として表されない)もの(各種記号、アイコン、図形、ボディーランゲージ等)の両方を含み、日常のコミュニケーションでは狭義の言語表現に身振り、手振り、図示、擬音等も加えて表現されることもある。"
"1","10","97718531","言語","{'dt': None, 'h2': '概説', 'h3': None, 'h4': None}","言語は、人間が用いる意志伝達手段であり、社会集団内で形成習得され、意志を相互に伝達することや、抽象的な思考を可能にし、結果として人間の社会的活動や文化的活動を支えている。言語には、文化の特徴が織り込まれており、共同体で用いられている言語の習得をすることによって、その共同体での社会的学習、および人格の形成をしていくことになる。ソシュールの研究が、言語学の発展の上で非常に重要な役割を果たしたわけであるが、ソシュール以降は、「共同体の用いる言語体系」のことは「langue ラング」と呼ばれ、それに対して、個々の人が行う言語活動は「parole パロール」という用語で呼ばれるようになっている。《音韻》 と 《意味》の間の結び付け方、また、《文字》と音韻・形態素・単語との間の結び付け方は、社会的に作られている習慣である。言語と非言語の境界が問題になるが、文字を使う方法と文字を用いない方法の区別のみで、言語表現を非言語表現から区別することはできない。抽象記号には文字表現と非文字表現(積分記号やト音記号など)があり、文字表現は言語表現と文字記号に分けられる。言語表現と区別される文字記号とは、文字を使っているが語(word)でないものをいい、化学式H2Oなどがその例である。化学式は自然言語の文法が作用しておらず、化学式独特の文法で構成されている。言語にはさまざまな分類がある。口語、口頭言語、書記言語、文語、といった分類があるが、重なる部分もありはっきり分類できるものでもない。また屈折語・膠着語・孤立語といったような分類もある。詳細は言語類型論を参照。"
"2","10","97718531","言語","{'dt': None, 'h2': '概説', 'h3': None, 'h4': None}","言語的表現は読み上げによって音声表現、点字化により触覚表現に変換されるが、言語的表現の特性は保存され、視覚的に表現されたものと同等に取り扱うことができる。 手話に関しては「日本語対応手話」は一般の日本語の話し言葉や書き言葉と同一の言語の「視覚言語バージョン」であるが、「日本手話」は一般の日本語とは異なる言語と考えられており、そちらは音声言語や文字言語とは異なる「視覚言語」ということになるなど、分類は単純ではない。以上の自然発生的な「自然」言語の他、近代以降、エスペラントなどの国際補助語など、人工言語も作られた。自然言語以外については、人工言語・形式言語・コンピュータ言語などの各記事を参照。ジャック・デリダという、一般にポスト構造主義の代表的哲学者と位置づけられているフランスの哲学者は、「声」を基礎とし文字をその代替とする発想が言語学に存在する、と主張し、それに対する批判を投げかける立場を主張した。『グラマトロジーについて』と「差延」の記事も参照。個別言語は、民族の滅亡や他言語による吸収によって使用されなくなることがある。このような言語は死語と呼ばれ、死語が再び母語として使用されたことは歴史上にただ一例、ヘブライ語の例しかない。しかし、ヘブライ語は自然に復活したわけでも完全に消滅していたわけでもなく、文章語として存続していた言語を、パレスチナに移住したユダヤ人たちが20世紀に入って日常語として人工的に復活させ、イスラエル建国とともに公用語に指定して完全に再生させたものである。"
"3","10","97718531","言語","{'dt': None, 'h2': '概説', 'h3': None, 'h4': None}","このほかにも、古典アラビア語、ラテン語、古典ギリシャ語のように、日常語としては消滅しているものの文章語としては存続している言語も存在する。このほか、日常ではもはや用いられず、教典や宗教行為のみに用いられるようになった典礼言語も存在する。近年、話者数が非常に少ない言語が他言語に飲み込まれて消滅し、新たに死語と化すことが問題視されるようになり、消滅の危機にある言語を危機言語と呼ぶようになった。これは、世界の一体化が進み、交通網の整備や流通の迅速化、ラジオ・テレビといったマスメディアの発達によってそれまで孤立を保っていた小さな言語がそのコミュニティを維持できなくなるために起こると考えられている。より大きな視点では英語の国際語としての勢力伸張による他主要言語の勢力縮小、いわゆる英語帝国主義もこれに含まれるといえるが、すくなくとも21世紀初頭においては英語を母語とする民族が多数派を占める国家を除いては英語のグローバル化が言語の危機に直結しているわけではない。言語消滅は、隣接したより大きな言語集団との交流が不可欠となり、その言語圏に小言語集団が取り込まれることによって起きる。こうした動きは人的交流や文化的交流が盛んな先進国内においてより顕著であり、北アメリカやオーストラリアなどで言語消滅が急速に進み、経済成長と言語消滅との間には有意な相関があるとの研究も存在する。その他の地域においても言語消滅が進んでおり、2010年にはインド領のアンダマン諸島において言語が一つ消滅し、他にも同地域において消滅の危機にある言語が存在するとの警告が発せられた。世界に存在する自然言語の一覧は言語の一覧を参照"
"4","10","97718531","言語","{'dt': None, 'h2': '歴史', 'h3': '起源', 'h4': None}","言語がいつどのように生まれたのか分かっておらず、複数の仮説が存在する。例えばデンマークの言語学者オットー・イェスペルセンは、以下のような仮説を列挙している。"
"5","10","97718531","言語","{'dt': 'プープー説(""Pooh-pooh"" theory)', 'h2': '歴史', 'h3': '起源', 'h4': None}","思わず出た声から感情に関する語が出来たもの。爆笑から"laugh"「わらう」「ショウ(笑)」、嫌う声から"hate"「きらい」「ケン(嫌)」など。"
"6","10","97718531","言語","{'dt': 'ワンワン説(""Bow Bow"" theory)', 'h2': '歴史', 'h3': '起源', 'h4': None}","鳴き声から動物に関する語が出来たもの。「モウ~」から"cow"「うし」「ギュウ(牛)」、「ワオ~ン」から"wolf"「おおかみ」「ロウ (狼)」など。"
"7","10","97718531","言語","{'dt': 'ドンドン説(""Ding-dong"" theory)', 'h2': '歴史', 'h3': '起源', 'h4': None}","音響から自然物に関する語が出来たもの。「ピカッ!ゴロゴロ」から"thunder"「かみなり」「ライ(雷)」、「ザーッ...」から"water"「みず」「スイ(水)」など。"
"8","10","97718531","言語","{'dt': 'エイヤコーラ説(""Yo-he-ho"" theory)', 'h2': '歴史', 'h3': '起源', 'h4': None}","かけ声から行動に関する語が出来たもの。停止を促す声から"stop"「とまる」「テイ(停)」、働く時の声から"work"「はたらく」「ロウ(労)」など。この説は、集団行動をとる時の意味の無いはやし歌が、世界各地に残っている事からも裏付けられる。なお、言語が生まれたのが地球上の一ヶ所なのか、複数ヶ所なのかも分かっていない。生物学的な観点から言語の起源を探ろうという試みもある。最近の分子生物学的研究によれば、FOXP2と名づけられている遺伝子に生じたある種の変異が言語能力の獲得につながった可能性がある。さらにその変異は現生人類とネアンデルタール人が分化する以前の30-40万年前にはすでに生じていたとの解析結果が発表されており、現生人類が登場とともに既に言語を身につけていた可能性も考えられる。しかしFOXP2は言語能力を有しない他の動物の多くが持っていること、FOXP2の変異が言語能力の獲得の必要条件であるとの直接的な証明はまだなされていないことなどに留意する必要がある。"
"9","10","97718531","言語","{'dt': None, 'h2': '歴史', 'h3': '変化', 'h4': None}","生物の場合には、進化が止まった生物が現在も生き残っている「生きている化石」と呼ばれるものがある。また、一見似ている2種類が全然別の種類から進化していたというケースもある。言語にも同じような現象が起きており、その変化の速度は一定ではなく、侵略・交易・移動等他民族との接触が多ければ、その時言語も大きく変化する。代表例として英語、フランス語、ルーマニア語、アルバニア語、アルメニア語等がある。逆に接触が少ないとほとんど変化しなくなる。代表例としてドイツ語、アイスランド語、ギリシャ語、スラヴ語派、バルト語派、サンスクリット語等があり、特にアイスランド語は基本文法が1000年前とほとんど変っていない。言語はもともといくつかの祖語から分化したと考えられており、同一の祖語から発生したグループを語族と呼ぶ。語族はさらに語派、語群、そして言語と細分化されていく。世界の大多数の言語はなんらかの語族に属するが、なかには現存する他の言語と系統関係が立証されておらず、語族に分類できない孤立した言語も存在する。また、地理・文化的に近接する異なった系統の言語が相互に影響しあい顕著に類似する事例も見られ、これは言語連合と呼ばれる。"
"10","10","97718531","言語","{'dt': None, 'h2': '歴史', 'h3': '変化', 'h4': None}","同一語族に属する言語群の場合、共通語彙から言語の分化した年代を割り出す方法も考案されている。一つの言語の言語史を作る場合、単語・綴り・発音・文法等から古代・中世・近代と3分割し、例えば「中世フランス語」等と呼ぶ。ある言語と他の言語が接触した場合、両言語の話者の交流が深まるにつれて様々な変化が発生する。これを言語接触という。言語接触によって、両言語には相手の言語から語彙を借用した借用語が発生するほか、交流が深まるにつれて商業や生活上の必要から混成言語が発生することがある。この混成言語は、初期にはピジン言語と呼ばれる非常に簡略化された形をとるが、やがて語彙が増え言語として成長してくると、『クレオール言語という「新しい言語」となった』と見なす。クレオール言語はピジン言語と比べ語彙も多く、何よりきちんと体系だった文法が存在しており、「一個の独立した言語」と見なして全く差し支えない。クレオール言語はピジン言語と違い、母語話者が存在する、つまり幼いころから主にその言語を話して育った人々がいる、ということも特徴である。中世の世界においてはしばしば、文語と日常使用する言語との間には隔たりがみられ、なかには中世ヨーロッパにおけるラテン語のようにその土地の言葉と全く異なる言語を文章語として採用している世界も存在した。"
"11","10","97718531","言語","{'dt': None, 'h2': '歴史', 'h3': '変化', 'h4': None}","ラテン語は欧州において知識人の間の共通語として用いられ、ルネサンスなどで大きな役割を果たしたが、やがて印刷術の発展や宗教改革などによって各国において使用される日常言語が文語として用いられるようになった。この際、それまで方言の連続体しか持たなかった各国において、その言語を筆記する標準的な表記法が定まっていき、各国において国内共通語としての標準語が制定されるようになった。これは出版物などによって徐々に定まっていくものもあれば、中央に公的な言語統制機関を置いて国家主導で標準語を制定するものもあったが、いずれにせよこうした言語の整備と国内共通語の成立は、国民国家を成立させるうえでの重要なピースとなっていった。一方で、標準語の制定は方言連続体のその他の言語を方言とすることになり、言語内での序列をつけることにつながった。最も新しい言語であり、また誕生する瞬間がとらえられた言語としては、ニカラグアの子供達の間で1970年代後半に発生した「ニカラグア手話」がある。これは、言語能力は人間に生得のものであるという考えを裏付けるものとなった。"
